Name,Calories_per_100g,Meal_type,Category_type,Protein_g,Fat_g,Carbs_g,Cost per 100g(£),Prep_time(mins),Serving_size_g,Unit_type
Chicken Breast,165,Lunch/Dinner,Savory,31,3.6,0,£0.72,35,100,Breast
Beef flank,192,Lunch/Dinner,Savory,28,9,0,£0.89,30,100,Flank
Fish,90,Dinner,Savory,20,1,0,£1.95,25,100,Fillet
Egg Whites,50,Breakfast,Savory,11,0.2,0,£0.70,5,100,Whites
Char Siu/Pork Shoulder,292,Dinner,Savory,23,21,0,£0.50,35,100,Shoulder
Leg of Lamb,266,Dinner,Savory,24,18,0,£1.70,45,100,Leg
White Rice,129,Lunch/Dinner,Starch,2.6,0.3,28,£0.45,15,100,Bowl
Chicken Drumstick(S),214,Lunch/Dinner,Savory,26.8,11.1,0,£0.25,30,38,Drumstick
Chicken Drumstick(M),214,Lunch/Dinner,Savory,26.2,10.8,0,£0.27,30,50,Drumstick
Chicken Drumstick(L),214,Lunch/Dinner,Savory,26.9,11.1,0,£0.30,30,65,Drumstick
Chicken Thighs(M),245,Lunch/Dinner,Savory,24.2,9.5,0,£0.30,35,62,Thigh
Costco Chicken Fillet ,169,Lunch,Savory,16.2,6,12.6,£0.25,25,160,Fillet
Protein Powder,378,Breakfast/Lunch/Dinner,Supplement,79,4.2,5.6,£2.00,2,30,Scoop
Avocado,198,Lunch,Vegetable,3,20,12,£1.40,5,100,Whole
Cucumber,15,Lunch,Vegetable,0,0,3,£0.15,2,23,Slices
Indomie Mi Goreng,500,Lunch,Starch,9.6,24.2,59.7,£1.00,10,80,Whole
RANONG Matcha Latte,443,Breakfast,Dessert,2.1,11,83,£0.29,5,23,Satchet
Skinny Protein Peanut Butter,409,Breakfast,Snack,24.8,13.8,41.4,£0.95,0,21,Bar
Broccoli,35,Dinner,Vegetable,2.4,0.4,7.1,£0.80,10,100,Florets
Banana,89,Breakfast,Fruit,1,0.3,22.8,£0.13,0,118,Whole
NYB Bagels (plain),271,Breakfast,Starch,9.8,2.6,47.6,£0.45,0,85,Whole
